time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-05 00:00:00+00:00,13,5,0,0
2026-02-06 00:00:00+00:00,19,7,0,0
2026-02-07 00:00:00+00:00,17,5,0,0
2026-02-08 00:00:00+00:00,23,7,0,0
2026-02-09 00:00:00+00:00,23,7,0,0
2026-02-10 00:00:00+00:00,11,3,0,0
2026-02-11 00:00:00+00:00,19,7,0,0
2026-02-12 00:00:00+00:00,19,7,0,0
2026-02-13 00:00:00+00:00,20,8,0,0
2026-02-14 00:00:00+00:00,30,10,0,0
2026-02-15 00:00:00+00:00,4,4,0,0
2026-02-16 00:00:00+00:00,18,6,0,0
2026-02-17 00:00:00+00:00,17,5,0,0
2026-02-18 00:00:00+00:00,17,5,0,0
